Epoch,| bandwidth,d_loss,d_msstftd,adv_msstftd,feat_msstftd,l1,msspec,penalty,ratio1,g_loss,ratio2,mel,sisnr,adv,feat,duration,| sisnr,| duration
17,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
17,1.1,0.769,0.769,1.348,0.023,0.017,0.036,0.233,0.245,1.842,11.506,0.27,-4.346,1.348,0.023,687.686,,
17,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
17,1.1,,,1.47,0.021,0.016,0.036,,,,,0.261,-4.988,1.47,0.021,130.419,,
18,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
18,1.1,0.759,0.759,1.374,0.023,0.017,0.036,0.237,0.245,1.834,11.295,0.269,-4.426,1.374,0.023,757.237,,
18,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
18,1.1,,,0.983,0.023,0.016,0.036,,,,,0.261,-5.034,0.983,0.023,320.787,,
19,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
19,1.1,0.753,0.753,1.4,0.023,0.016,0.035,0.24,0.244,1.817,11.245,0.268,-4.513,1.4,0.023,812.912,,
19,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
19,1.1,,,1.323,0.023,0.016,0.036,,,,,0.261,-5.095,1.323,0.023,414.929,,
20,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,
